Searcher	S ER1 CH ER0
Medic	M EH1 D IH0 K
Engineer	EH1 N JH AH0 N IH1 R
Room	R UW1 M
Door	D AO1 R
Building	B IH1 L D IH0 NG
Floor	F L AO1 R
Rubble	R AH1 B AH0 L
Move	M UW1 V
Open	OW1 P AH0 N
Close	K L OW1 S
Communicate	K AH0 M Y UW1 N AH0 K EY2 T
Continue	K AH0 N T IH1 N Y UW0
Save	S EY1 V
Question	K W EH1 S CH AH0 N
Clear	K L IH1 R
Search	S ER1 CH
Victim	V IH1 K T IH0 M
Yellow	Y EH1 L OW0
Green	G R IY1 N
Player	P L EY1 ER0
Sign	S AY1 N
Hammer	HH AE1 M ER0
MedKit	M EH1 D K IH1 T
Stretcher	S T R EH1 CH ER0
Red	R EH1 D
Blue	B L UW1
Minecraft	M AY1 N K R AE1 F T
Med	M EH1 D