count,f0,gender,speaker,utterance
115,151.8426035652174,2,KL,h05
155,204.4819802580645,2,DC,h05
103,146.13371349514563,2,KL,h04
135,215.00529407407402,2,DC,h04
149,243.13788791946308,2,JE,su01
89,130.7844333707865,2,KL,d07
179,165.75065251396651,2,DC,sa15
112,144.50489455357143,2,DC,d07
99,111.79847626262622,2,KL,d06
108,136.28844814814815,2,DC,d06
209,166.8514466028708,2,DC,sa14
93,132.61391827956987,2,JK,n18
114,130.34681666666668,2,JK,n19
149,216.1999610738255,2,DC,su13
173,212.82138121387283,2,DC,su12
109,172.64729174311927,2,JE,sa07
140,173.89657764285718,2,JE,sa06
109,128.41187522935786,2,JE,n25
118,182.6047577966102,2,JK,a03
109,128.82258550458715,2,JE,n24
152,139.6712734868421,2,JK,a02
116,131.56565112068967,2,KL,n01
111,123.72156261261259,2,DC,n01
106,137.85828462264152,2,JK,n26
124,183.43340443548385,2,JE,a01
165,129.78412315151513,2,JK,n27
143,223.9403594405595,2,JK,su07
117,228.60826213675213,2,JK,su06
195,169.4074285128205,2,DC,a10
151,153.87299264900665,2,KL,a10
113,144.45699026548672,2,DC,a11
94,130.29517170212765,2,KL,a11
98,245.63734897959182,2,JE,f06
147,225.6746042857143,2,JE,f07
123,137.6831357723577,2,JK,n12
96,153.50487197916667,2,KL,su07
86,123.82593616279068,2,JK,n13
86,212.33914767441863,2,KL,su06
149,143.6160955704698,2,JK,sa01
93,136.17031978494623,2,KL,sa01
152,264.55361644736837,2,JK,f05
127,253.1076516535433,2,JK,f04
150,127.96306226666668,2,JE,n11
130,126.32060923076924,2,JE,n10
191,140.3634577486911,2,JK,d14
226,151.20884026548669,2,JK,d15
162,168.97205796296296,2,JE,h15
215,159.3800295348837,2,JE,h14
159,195.80493603773587,2,JK,a09
147,209.8431285714286,2,JK,a08
127,204.25412937007874,2,DC,su04
120,207.0883433333333,2,DC,su05
152,159.68274013157895,2,JE,sa10
195,166.90326333333334,2,JE,sa11
149,122.89156355704695,2,KL,d10
158,185.96304367088607,2,DC,sa02
157,155.6304847133758,2,DC,d10
109,124.68008137614679,2,KL,d11
139,146.5373568345324,2,DC,d11
104,193.4993605769231,2,DC,sa03
133,115.87237406015038,2,KL,n28
143,121.96238986013987,2,DC,n28
96,111.61126697916666,2,KL,n29
134,122.2900847761194,2,DC,n29
177,154.22773107344636,2,KL,h12
182,209.7338568131868,2,DC,h12
95,169.08594978947366,2,KL,h13
112,215.4021,2,DC,h13
128,208.39092578125,2,DC,f01
98,143.98625163265302,2,KL,f01
156,143.53622846153846,2,JK,d09
141,151.18301737588652,2,JK,d08
135,125.61759348148145,2,JK,n30
107,130.56076271028036,2,KL,n16
112,125.94210749999999,2,DC,n16
103,116.34908572815534,2,KL,n17
136,120.6371519117647,2,DC,n17
129,224.053215503876,2,JE,h08
166,211.78094963855426,2,JE,h09
218,177.78636821100918,2,JK,a14
222,191.35647941441445,2,JK,a15
195,259.99129087179483,2,JK,f12
113,267.3062146017699,2,JK,f13
84,132.00402749999998,2,JE,n06
129,120.9179269767442,2,JE,n07
100,191.23952900000003,2,DC,sa08
110,192.2682121818181,2,DC,sa09
107,112.11833411214953,2,KL,n22
111,127.80186936936936,2,DC,n22
105,120.24363752380951,2,KL,n23
116,129.51085517241378,2,DC,n23
134,217.43950373134328,2,JE,f11
142,248.22895774647893,2,JE,f10
104,131.79385971153846,2,JK,n05
134,167.59133082089554,2,KL,su10
132,132.0979268181818,2,JK,n04
70,163.85812714285714,2,KL,su11
131,184.3192022900763,2,DC,a07
84,146.30984285714285,2,KL,a07
114,164.3730543859649,2,DC,a06
92,138.73241152173912,2,KL,a06
183,232.2028155737705,2,JK,su10
98,242.4105142857143,2,JK,su11
135,160.88545029629628,2,JE,d01
141,172.5040538297873,2,JE,h02
74,210.85259459459462,2,JE,h03
105,205.12920428571425,2,JK,d03
160,192.124382125,2,JK,d02
142,190.28275950704227,2,JK,h01
106,136.0527705660377,2,JK,n08
126,140.16322126984124,2,JK,n09
84,212.21055357142853,2,DC,su03
142,210.9711302816901,2,DC,su02
177,155.83556655367232,2,KL,h15
231,198.61412519480518,2,DC,h15
200,140.72144545,2,KL,h14
213,198.6716408450704,2,DC,h14
124,212.64330112903224,2,JE,su11
186,223.25924322580642,2,JE,su10
160,172.26869625,2,DC,sa05
191,184.91177696335075,2,DC,sa04
205,153.16729419512197,2,JE,a10
127,133.30524960629918,2,JE,a11
87,185.22604137931043,2,DC,f06
87,142.4193773563218,2,KL,f06
104,188.99047884615382,2,DC,f07
109,141.84200779816513,2,KL,f07
187,181.4059244919786,2,JK,a13
128,206.05510859375,2,JK,a12
208,118.71676307692309,2,KL,n11
189,128.41529603174604,2,DC,n11
137,108.25848364963501,2,KL,n10
146,126.46117945205481,2,DC,n10
112,116.05699830357142,2,KL,n25
140,122.53164257142859,2,DC,n25
104,122.34947596153845,2,KL,n24
122,126.79641286885244,2,DC,n24
212,113.32062056603772,2,JK,sa11
164,136.50431201219513,2,JK,sa10
205,123.3080553170732,2,KL,sa11
242,237.53388504132232,2,JK,f15
130,108.75638084615385,2,KL,sa10
199,251.14876442211053,2,JK,f14
94,129.57410627659576,2,JE,n01
131,162.9407587786259,2,DC,a01
124,160.33740693548387,2,KL,a01
108,201.3454462962963,2,DC,su09
95,214.9601747368422,2,DC,su08
153,122.8359777777778,2,JK,n02
111,129.6074100900901,2,JK,n03
128,166.6422421875,2,JE,h05
149,178.53834161073826,2,JE,h04
90,129.55414511111113,2,JE,d07
94,134.57014734042556,2,JE,d06
145,174.36802503448277,2,JK,h06
123,179.65723382113822,2,JK,h07
131,206.10692099236644,2,JK,d04
124,202.67394677419358,2,JK,d05
118,240.27959194915246,2,JE,su06
178,263.0947626404494,2,JE,su07
144,169.94364861111112,2,DC,sa12
110,162.21363745454545,2,KL,d01
196,176.9807724489796,2,DC,sa13
151,153.85123834437087,2,DC,d01
102,142.11235039215686,2,KL,h02
146,214.9083226027397,2,DC,h02
71,175.93060816901402,2,KL,h03
106,230.21653773584904,2,DC,h03
141,233.2349620567376,2,JK,f08
138,224.08438130434783,2,JK,f09
169,217.08391834319528,2,DC,su14
157,221.1006585987261,2,DC,su15
146,180.643852260274,2,JE,sa01
87,116.38048919540232,2,KL,n06
106,131.92083188679246,2,DC,n06
118,107.29331245762714,2,KL,n07
138,117.98040695652172,2,DC,n07
142,164.0832487323944,2,JK,a04
110,133.10288081818183,2,JE,n22
147,177.373379047619,2,JK,a05
109,133.90874366972474,2,JE,n23
126,174.82399682539682,2,DC,f11
100,129.35578669999998,2,KL,f11
130,207.89873538461538,2,DC,f10
110,167.60822363636362,2,KL,f10
114,132.56514710526315,2,JK,n21
142,155.4516998591549,2,JE,a07
120,130.21501341666666,2,JK,n20
140,147.74396221428574,2,JE,a06
164,230.40532164634143,2,JE,f01
171,122.32232771929827,2,JK,n15
142,128.43862859154933,2,JK,n14
111,199.98513333333332,2,KL,su01
184,248.29630880434783,2,JK,su01
168,202.8610767857143,2,JK,f02
108,121.68006212962965,2,KL,sa06
112,268.63239642857144,2,JK,f03
95,114.48306631578949,2,KL,sa07
102,133.70970764705882,2,JE,n16
108,145.98640925925923,2,JE,n17
82,144.2294125609756,2,KL,h08
104,202.0258125,2,DC,h08
134,155.9782120149254,2,KL,h09
139,219.4811079136691,2,DC,h09
130,130.65537784615387,2,JK,sa06
111,125.61089126126127,2,JK,sa07
226,135.8775452212389,2,JK,d13
82,152.30615207317075,2,JK,d12
195,191.5463925641025,2,JK,h11
140,187.79659928571425,2,JK,h10
132,118.4847187878788,2,JE,d10
144,136.28972319444443,2,JE,d11
120,124.76632333333332,2,JE,n28
110,125.38431727272726,2,JE,n29
186,187.0437640860215,2,JE,h12
116,180.49997801724138,2,JE,h13
90,126.94992388888888,2,JE,n05
93,130.8391458064516,2,JE,n04
144,244.99247819444443,2,JK,f11
149,114.22971449664426,2,KL,sa15
79,245.02498481012654,2,JK,f10
168,117.45448398809522,2,KL,sa14
182,115.00346434065935,2,JK,sa15
183,112.00997300546446,2,JK,sa14
119,127.37899579831937,2,DC,n21
88,118.21559909090912,2,KL,n21
131,127.01473152671757,2,DC,n20
115,125.85555130434784,2,KL,n20
136,144.81274963235296,2,KL,su13
93,152.91703946236558,2,JK,n06
129,156.95716465116283,2,KL,su12
163,139.15514889570554,2,JK,n07
201,210.8620983084577,2,JE,f12
113,207.7146945132744,2,JE,f13
100,141.88821030000003,2,KL,a04
116,166.80541637931034,2,DC,a04
118,143.92170728813556,2,KL,a05
138,156.52140000000003,2,DC,a05
164,247.58194219512197,2,JK,su13
203,293.5898726600985,2,JK,su12
55,201.48318363636363,2,JE,d03
122,127.40976540983604,2,JE,d02
158,175.3158220886076,2,JE,h01
147,202.18953959183673,2,JK,d01
135,172.4194500740741,2,JK,h02
123,193.49572292682927,2,JK,h03
106,144.44484566037738,2,KL,f08
140,190.5728307142857,2,DC,f08
129,172.74236984496125,2,KL,f09
134,191.9881805970149,2,DC,f09
186,171.69989892473126,2,JE,sa13
191,160.55101062827225,2,JE,sa12
121,196.8727322314049,2,DC,su07
93,201.24536559139787,2,DC,su06
125,191.1655248,2,DC,sa01
209,144.8826846889952,2,DC,d13
184,111.30315864130436,2,KL,d13
143,154.2495986013986,2,DC,d12
73,137.9985064383562,2,KL,d12
200,191.0204285,2,JE,su15
185,194.45256427027027,2,JE,su14
246,179.17201105691058,2,DC,h11
195,133.0124053846154,2,KL,h11
144,204.30618541666664,2,DC,h10
110,155.44126027272722,2,KL,h10
121,131.34717363636364,2,KL,f02
150,220.20591933333336,2,DC,f02
82,161.75653719512198,2,KL,f03
99,230.93797676767682,2,DC,f03
104,204.95124903846158,2,JK,h08
140,204.52200142857143,2,JK,h09
216,135.2330488888889,2,JE,a14
252,134.02154861111111,2,JE,a15
148,123.47796222972971,2,DC,n15
134,111.3018586567164,2,KL,n15
126,135.63844126984122,2,DC,n14
144,121.61926951388888,2,KL,n14
81,133.25932012345677,2,JE,n30
159,119.19500377358492,2,JE,d09
141,125.48915808510635,2,JE,d08
154,226.41364448051948,2,JK,su04
118,220.21320508474568,2,JK,su05
146,125.54626643835616,2,KL,a13
173,160.96861849710984,2,DC,a13
116,145.76156043103444,2,KL,a12
121,174.84815471074384,2,DC,a12
106,156.46969188679242,2,KL,su04
180,131.288356,2,JK,n11
92,164.80327576086955,2,KL,su05
156,126.77864782051282,2,JK,n10
104,266.16522048076934,2,JE,f05
122,255.32315967213117,2,JE,f04
151,253.2017548344371,2,JE,su08
156,129.08916064102564,2,JK,sa02
145,137.9915067586207,2,JK,sa03
138,257.02939057971014,2,JE,su09
109,137.3525091743119,2,JE,n12
83,135.85271325301204,2,JE,n13
105,111.41539190476192,2,KL,sa02
120,236.41007666666667,2,JK,f06
75,140.32761653333333,2,KL,sa03
153,227.12174862745098,2,JK,f07
210,197.50082447619045,2,JK,h15
199,201.91911075376888,2,JK,h14
196,146.01725826530608,2,JE,a09
166,180.11951795180718,2,JE,a08
97,130.99182268041235,2,DC,n08
92,119.81590369565217,2,KL,n08
134,129.05568582089552,2,DC,n09
129,116.02390682170542,2,KL,n09
168,121.68502309523814,2,JE,d14
230,123.75226443478262,2,JE,d15
91,117.41337153846152,2,KL,sa08
94,121.31232882978728,2,KL,sa09
84,136.16503928571422,2,JE,n18
105,130.02864171428573,2,JE,n19
142,186.8459550704225,2,DC,h06
112,131.52903124999997,2,KL,h06
138,204.71653115942033,2,DC,h07
105,138.77494952380954,2,KL,h07
130,154.81341746153842,2,DC,d04
128,129.844487109375,2,KL,d04
130,158.07074169230768,2,DC,d05
118,132.37072322033896,2,KL,d05
120,211.36412466666667,2,JE,su02
110,139.42224063636365,2,JK,sa08
129,134.66532542635656,2,JK,sa09
50,239.22331359999998,2,JE,su03
174,164.6615335632184,2,JE,sa04
151,160.46526821192052,2,JE,sa05
122,176.17434131147542,2,DC,su10
98,216.5084846938776,2,DC,su11
72,126.58334416666668,2,JE,n26
146,121.10904986301372,2,JE,n27
144,169.44302319444444,2,JK,a01
131,121.2218838167939,2,DC,n02
100,108.4712838,2,KL,n02
88,133.33368068181818,2,DC,n03
74,133.55014878378378,2,KL,n03
87,170.43138367816087,2,JE,a03
128,122.609163125,2,JK,n25
125,149.98113199999997,2,JE,a02
100,138.58465669999998,2,JK,n24
175,142.30422645714287,2,KL,f15
199,179.79686130653266,2,DC,f15
134,142.98154895522387,2,KL,f14
163,182.6771668711656,2,DC,f14
74,190.58324472972973,2,KL,su03
122,132.5044568852459,2,JK,n16
116,154.10170112068963,2,KL,su02
139,123.36960208633093,2,JK,n17
157,208.70975872611461,2,JE,f02
57,215.34488157894737,2,JE,f03
107,247.52453364485982,2,JK,su03
113,175.50603982300885,2,JE,sa09
128,179.5219296875,2,JE,sa08
179,212.0663002793296,2,JK,su02
173,129.9402590751445,2,KL,a14
166,166.428853313253,2,DC,a14
157,130.90155305732486,2,KL,a15
226,160.21257699115048,2,DC,a15
139,127.67282014388486,2,JE,n15
108,130.73391796296298,2,JE,n14
160,247.08807662500004,2,JK,f01
141,123.11696574468084,2,KL,sa05
168,119.21217976190478,2,KL,sa04
209,132.11756818181817,2,JK,sa05
220,126.429318,2,JK,sa04
123,134.7068138211382,2,DC,n30
115,115.95176930434782,2,KL,n30
169,147.28541065088757,2,DC,d09
125,129.08184928,2,KL,d09
148,148.03700243243244,2,DC,d08
119,120.72254966386556,2,KL,d08
171,121.5514494736842,2,JK,n28
122,126.384845,2,JK,n29
159,156.42811635220124,2,JK,d10
129,153.4540476744186,2,JK,d11
186,189.87342532258063,2,JK,h12
104,205.12098653846158,2,JK,h13
227,121.255565154185,2,JE,d13
74,147.63770905405406,2,JE,d12
204,181.00859460784312,2,JE,h11
140,212.9697942857143,2,JE,h10
101,148.65500633663368,2,DC,d03
229,165.9482349344978,2,DC,sa11
84,152.4422698809524,2,KL,d03
152,188.75888289473687,2,DC,sa10
165,142.8550175151515,2,DC,d02
110,121.34282736363636,2,KL,d02
126,242.37817214285718,2,JE,su05
162,236.43039074074073,2,JE,su04
154,204.0881155844156,2,DC,h01
119,173.86828142857146,2,KL,h01
140,218.551978,2,JK,su09
86,221.49144302325575,2,JE,sa03
129,167.88713186046513,2,JE,sa02
121,222.03886842975209,2,JK,su08
141,246.05720780141843,2,JE,f08
132,229.1321762878788,2,JE,f09
110,140.99066281818185,2,KL,su09
100,179.12961629999995,2,KL,su08
81,127.03245925925926,2,DC,n05
71,103.33374014084507,2,KL,n05
108,126.3080809259259,2,DC,n04
101,114.19706415841586,2,KL,n04
130,188.43741923076922,2,JK,a07
104,133.91280961538462,2,JE,n21
120,178.8089185,2,JK,a06
123,130.96452699186992,2,JE,n20
178,130.2624782022472,2,KL,f12
166,165.96904759036147,2,DC,f12
94,149.94755074468085,2,KL,f13
103,172.86622650485432,2,DC,f13
127,132.58700118110235,2,JK,n22
128,173.366662890625,2,JE,a04
107,125.29106943925234,2,JK,n23
132,189.32606121212123,2,JE,a05
166,107.72536933734938,2,JK,sa12
197,119.57099081218273,2,JK,sa13
118,138.38845762711864,2,DC,n26
104,138.13694134615386,2,KL,n26
181,126.47076071823206,2,DC,n27
160,113.8302375625,2,KL,n27
119,138.75033840336135,2,JE,n02
79,144.02337468354432,2,JE,n03
138,104.92499869565218,2,KL,sa12
157,111.12773012738856,2,KL,sa13
79,152.82725063291142,2,KL,a03
93,186.82971720430112,2,DC,a03
99,123.94205090909092,2,KL,a02
149,138.6154932885906,2,DC,a02
212,284.9115722169812,2,JK,su14
236,270.92784067796606,2,JK,su15
160,148.20578425,2,KL,su14
126,135.34771388888885,2,JK,n01
179,137.469390726257,2,KL,su15
184,214.19682065217393,2,JE,f15
198,200.5807479292929,2,JE,f14
85,128.4410494117647,2,DC,n18
82,138.47273170731708,2,KL,n18
117,126.3791564102564,2,DC,n19
110,126.97518327272728,2,KL,n19
193,188.7869259067357,2,JE,h06
130,208.2560276923077,2,JE,h07
119,154.29925445378151,2,JE,d04
147,182.44070829931974,2,JE,d05
140,179.40227207142857,2,JK,h05
149,182.9659906711409,2,JK,h04
119,146.70700033613448,2,JK,d07
115,143.9013194782609,2,JK,d06
118,126.53571194915257,2,KL,a09
163,146.0302730061349,2,DC,a09
119,150.42734932773104,2,KL,a08
152,201.43982894736843,2,DC,a08
205,165.55430541463414,2,JE,sa14
170,153.61236458823532,2,JE,sa15
113,205.93885752212398,2,DC,su01
72,124.48960305555555,2,JE,n08
111,129.2979957657658,2,JE,n09
199,155.37623869346734,2,DC,d14
149,187.7166038255034,2,DC,sa06
171,115.56568532163745,2,KL,d14
114,184.73147894736843,2,DC,sa07
224,141.66481964285714,2,DC,d15
175,120.828152,2,KL,d15
204,190.7369505882353,2,JE,su12
201,204.7053223880597,2,JE,su13
206,139.2122082524272,2,JE,a13
163,162.5493501840491,2,JE,a12
128,160.67314015625,2,KL,f05
134,230.1695541791045,2,DC,f05
102,159.34063627450982,2,KL,f04
117,231.3604282051282,2,DC,f04
167,197.21846077844316,2,JK,a10
120,213.06233083333333,2,JK,a11
111,120.54139108108109,2,DC,n12
105,120.82917276190477,2,KL,n12
92,129.6580858695652,2,DC,n13
83,138.11137674698793,2,KL,n13
354,182.47782983050843,1,,8837
156,212.38189230769225,2,,89
91,224.63506494505498,2,,526
48,197.88144583333332,2,,88
107,243.70609616822426,2,,527
351,144.6941888888889,1,,5679
301,168.161969833887,2,,286
93,215.47160107526886,2,,287
152,185.06473815789474,1,,7953
150,143.52274440000002,1,,11913
181,249.9665022099448,1,,11889
136,283.5867727941176,1,,6039
42,235.44918095238097,2,,467
106,193.96757924528302,1,,60
61,162.8582144262295,2,,53
247,169.38287125506073,1,,1296
137,192.51418452554745,2,,518
120,296.03475,2,,482
262,169.17677480916032,1,,11609
314,193.1347242038217,1,,175
94,175.12266138297875,2,,410
164,132.56291756097562,2,,24
181,209.2780627071824,2,,322
146,212.85813636986302,2,,144
95,160.6235781052632,2,,323
61,237.86715573770488,2,,263
137,187.7644405109489,1,,2830
316,227.8921003164557,1,,8185
60,155.84088000000006,2,,550
247,150.869983805668,1,,1803
119,168.5265148739496,1,,1666
215,146.23180474418606,1,,9245
20,185.8466795,2,,458
26,211.0647923076924,2,,58
177,150.26436214689264,1,,5109
22,285.19593409090913,2,,257
258,128.74841542635662,1,,4352
238,136.7732329411765,1,,3293
194,178.86598793814431,1,,6032
105,146.78266266666662,2,,564
236,131.34682605932204,1,,7047
231,149.15267272727272,1,,6426
137,159.3654535036496,1,,11006
244,217.77967377049183,1,,6427
108,198.4390913888889,2,,425
38,231.35953947368424,2,,316
64,172.33952828125,2,,170
177,181.81206841807912,1,,672
35,252.19719942857142,2,,171
79,276.54035898734173,2,,317
393,208.31845941475825,2,,11
185,115.6071227027027,1,,4281
8,294.876925,2,,385
37,183.36981081081086,2,,107
102,179.38904470588238,2,,361
218,195.77832220183484,2,,66
102,236.35236078431373,2,,7
96,135.833974375,2,,194
123,137.50940658536584,1,,4639
284,279.25968345070424,2,,268
215,91.59246316279068,1,,3545
362,149.1670435635359,2,,581
198,198.11987136363632,1,,2616
240,153.99198325,1,,10004
122,233.5979885245901,2,,488
298,239.58749093959733,2,,489
125,213.3220972,1,,1185
227,225.15461400881057,2,,221
139,217.5712920863309,2,,512
197,199.47202944162441,1,,5211
142,196.00502049295773,1,,6472
83,159.09467710843373,2,,471
107,152.16005074766355,2,,617
174,161.97601511494258,2,,124
303,207.02851818481847,2,,342
81,216.24028839506173,2,,343
144,119.67776604166669,2,,125
257,120.81530163424124,1,,2580
230,186.92922852173908,1,,5627
184,168.6397265217391,2,,45
90,142.40371466666667,2,,44
56,262.01241607142856,2,,579
162,137.86274839506174,1,,2819
155,237.25554612903224,1,,2361
83,221.45120481927708,2,,439
